Ad ID,Advertiser ID,Headline,Description,URL
25,8,Ad from advertiser #8,Ad #4 of advertiser #8,https://www.amazon.com?advertiser=8&ad=4
26,9,Ad from advertiser #9,Ad #1 of advertiser #9,https://www.amazon.com?advertiser=9&ad=1
27,10,Ad from advertiser #10,Ad #1 of advertiser #10,https://www.amazon.com?advertiser=10&ad=1
28,10,Ad from advertiser #10,Ad #2 of advertiser #10,https://www.amazon.com?advertiser=10&ad=2
29,10,Ad from advertiser #10,Ad #3 of advertiser #10,https://www.amazon.com?advertiser=10&ad=3
30,11,Ad from advertiser #11,Ad #1 of advertiser #11,https://www.amazon.com?advertiser=11&ad=1
31,11,Ad from advertiser #11,Ad #2 of advertiser #11,https://www.amazon.com?advertiser=11&ad=2
32,11,Ad from advertiser #11,Ad #3 of advertiser #11,https://www.amazon.com?advertiser=11&ad=3
33,11,Ad from advertiser #11,Ad #4 of advertiser #11,https://www.amazon.com?advertiser=11&ad=4
34,11,Ad from advertiser #11,Ad #5 of advertiser #11,https://www.amazon.com?advertiser=11&ad=5
35,12,Ad from advertiser #12,Ad #1 of advertiser #12,https://www.amazon.com?advertiser=12&ad=1
36,12,Ad from advertiser #12,Ad #2 of advertiser #12,https://www.amazon.com?advertiser=12&ad=2
37,12,Ad from advertiser #12,Ad #3 of advertiser #12,https://www.amazon.com?advertiser=12&ad=3
38,12,Ad from advertiser #12,Ad #4 of advertiser #12,https://www.amazon.com?advertiser=12&ad=4
39,13,Ad from advertiser #13,Ad #1 of advertiser #13,https://www.amazon.com?advertiser=13&ad=1
40,14,Ad from advertiser #14,Ad #1 of advertiser #14,https://www.amazon.com?advertiser=14&ad=1
41,14,Ad from advertiser #14,Ad #2 of advertiser #14,https://www.amazon.com?advertiser=14&ad=2
42,15,Ad from advertiser #15,Ad #1 of advertiser #15,https://www.amazon.com?advertiser=15&ad=1
43,15,Ad from advertiser #15,Ad #2 of advertiser #15,https://www.amazon.com?advertiser=15&ad=2
44,15,Ad from advertiser #15,Ad #3 of advertiser #15,https://www.amazon.com?advertiser=15&ad=3
45,15,Ad from advertiser #15,Ad #4 of advertiser #15,https://www.amazon.com?advertiser=15&ad=4
46,15,Ad from advertiser #15,Ad #5 of advertiser #15,https://www.amazon.com?advertiser=15&ad=5
47,16,Ad from advertiser #16,Ad #1 of advertiser #16,https://www.amazon.com?advertiser=16&ad=1
48,17,Ad from advertiser #17,Ad #1 of advertiser #17,https://www.amazon.com?advertiser=17&ad=1
49,18,Ad from advertiser #18,Ad #1 of advertiser #18,https://www.amazon.com?advertiser=18&ad=1
50,18,Ad from advertiser #18,Ad #2 of advertiser #18,https://www.amazon.com?advertiser=18&ad=2
51,19,Ad from advertiser #19,Ad #1 of advertiser #19,https://www.amazon.com?advertiser=19&ad=1
52,19,Ad from advertiser #19,Ad #2 of advertiser #19,https://www.amazon.com?advertiser=19&ad=2
53,20,Ad from advertiser #20,Ad #1 of advertiser #20,https://www.amazon.com?advertiser=20&ad=1
54,20,Ad from advertiser #20,Ad #2 of advertiser #20,https://www.amazon.com?advertiser=20&ad=2
55,21,Ad from advertiser #21,Ad #1 of advertiser #21,https://www.amazon.com?advertiser=21&ad=1
56,21,Ad from advertiser #21,Ad #2 of advertiser #21,https://www.amazon.com?advertiser=21&ad=2
57,21,Ad from advertiser #21,Ad #3 of advertiser #21,https://www.amazon.com?advertiser=21&ad=3
58,21,Ad from advertiser #21,Ad #4 of advertiser #21,https://www.amazon.com?advertiser=21&ad=4
59,22,Ad from advertiser #22,Ad #1 of advertiser #22,https://www.amazon.com?advertiser=22&ad=1
60,22,Ad from advertiser #22,Ad #2 of advertiser #22,https://www.amazon.com?advertiser=22&ad=2
61,22,Ad from advertiser #22,Ad #3 of advertiser #22,https://www.amazon.com?advertiser=22&ad=3
62,22,Ad from advertiser #22,Ad #4 of advertiser #22,https://www.amazon.com?advertiser=22&ad=4
63,23,Ad from advertiser #23,Ad #1 of advertiser #23,https://www.amazon.com?advertiser=23&ad=1
64,23,Ad from advertiser #23,Ad #2 of advertiser #23,https://www.amazon.com?advertiser=23&ad=2
65,23,Ad from advertiser #23,Ad #3 of advertiser #23,https://www.amazon.com?advertiser=23&ad=3
66,23,Ad from advertiser #23,Ad #4 of advertiser #23,https://www.amazon.com?advertiser=23&ad=4
67,23,Ad from advertiser #23,Ad #5 of advertiser #23,https://www.amazon.com?advertiser=23&ad=5
68,24,Ad from advertiser #24,Ad #1 of advertiser #24,https://www.amazon.com?advertiser=24&ad=1
69,25,Ad from advertiser #25,Ad #1 of advertiser #25,https://www.amazon.com?advertiser=25&ad=1
70,26,Ad from advertiser #26,Ad #1 of advertiser #26,https://www.amazon.com?advertiser=26&ad=1
71,26,Ad from advertiser #26,Ad #2 of advertiser #26,https://www.amazon.com?advertiser=26&ad=2
72,26,Ad from advertiser #26,Ad #3 of advertiser #26,https://www.amazon.com?advertiser=26&ad=3
73,27,Ad from advertiser #27,Ad #1 of advertiser #27,https://www.amazon.com?advertiser=27&ad=1
74,27,Ad from advertiser #27,Ad #2 of advertiser #27,https://www.amazon.com?advertiser=27&ad=2
75,28,Ad from advertiser #28,Ad #1 of advertiser #28,https://www.amazon.com?advertiser=28&ad=1
76,28,Ad from advertiser #28,Ad #2 of advertiser #28,https://www.amazon.com?advertiser=28&ad=2
77,28,Ad from advertiser #28,Ad #3 of advertiser #28,https://www.amazon.com?advertiser=28&ad=3
78,28,Ad from advertiser #28,Ad #4 of advertiser #28,https://www.amazon.com?advertiser=28&ad=4
79,29,Ad from advertiser #29,Ad #1 of advertiser #29,https://www.amazon.com?advertiser=29&ad=1
80,29,Ad from advertiser #29,Ad #2 of advertiser #29,https://www.amazon.com?advertiser=29&ad=2
81,29,Ad from advertiser #29,Ad #3 of advertiser #29,https://www.amazon.com?advertiser=29&ad=3
82,30,Ad from advertiser #30,Ad #1 of advertiser #30,https://www.amazon.com?advertiser=30&ad=1
83,30,Ad from advertiser #30,Ad #2 of advertiser #30,https://www.amazon.com?advertiser=30&ad=2
84,31,Ad from advertiser #31,Ad #1 of advertiser #31,https://www.amazon.com?advertiser=31&ad=1
85,31,Ad from advertiser #31,Ad #2 of advertiser #31,https://www.amazon.com?advertiser=31&ad=2
86,31,Ad from advertiser #31,Ad #3 of advertiser #31,https://www.amazon.com?advertiser=31&ad=3
87,32,Ad from advertiser #32,Ad #1 of advertiser #32,https://www.amazon.com?advertiser=32&ad=1
88,33,Ad from advertiser #33,Ad #1 of advertiser #33,https://www.amazon.com?advertiser=33&ad=1
89,34,Ad from advertiser #34,Ad #1 of advertiser #34,https://www.amazon.com?advertiser=34&ad=1
90,34,Ad from advertiser #34,Ad #2 of advertiser #34,https://www.amazon.com?advertiser=34&ad=2
91,34,Ad from advertiser #34,Ad #3 of advertiser #34,https://www.amazon.com?advertiser=34&ad=3
92,34,Ad from advertiser #34,Ad #4 of advertiser #34,https://www.amazon.com?advertiser=34&ad=4
93,34,Ad from advertiser #34,Ad #5 of advertiser #34,https://www.amazon.com?advertiser=34&ad=5
94,35,Ad from advertiser #35,Ad #1 of advertiser #35,https://www.amazon.com?advertiser=35&ad=1
95,35,Ad from advertiser #35,Ad #2 of advertiser #35,https://www.amazon.com?advertiser=35&ad=2
96,35,Ad from advertiser #35,Ad #3 of advertiser #35,https://www.amazon.com?advertiser=35&ad=3
97,35,Ad from advertiser #35,Ad #4 of advertiser #35,https://www.amazon.com?advertiser=35&ad=4
98,36,Ad from advertiser #36,Ad #1 of advertiser #36,https://www.amazon.com?advertiser=36&ad=1
99,36,Ad from advertiser #36,Ad #2 of advertiser #36,https://www.amazon.com?advertiser=36&ad=2
100,37,Ad from advertiser #37,Ad #1 of advertiser #37,https://www.amazon.com?advertiser=37&ad=1
101,37,Ad from advertiser #37,Ad #2 of advertiser #37,https://www.amazon.com?advertiser=37&ad=2
102,38,Ad from advertiser #38,Ad #1 of advertiser #38,https://www.amazon.com?advertiser=38&ad=1
103,38,Ad from advertiser #38,Ad #2 of advertiser #38,https://www.amazon.com?advertiser=38&ad=2
104,38,Ad from advertiser #38,Ad #3 of advertiser #38,https://www.amazon.com?advertiser=38&ad=3
105,38,Ad from advertiser #38,Ad #4 of advertiser #38,https://www.amazon.com?advertiser=38&ad=4
106,38,Ad from advertiser #38,Ad #5 of advertiser #38,https://www.amazon.com?advertiser=38&ad=5
107,39,Ad from advertiser #39,Ad #1 of advertiser #39,https://www.amazon.com?advertiser=39&ad=1
108,39,Ad from advertiser #39,Ad #2 of advertiser #39,https://www.amazon.com?advertiser=39&ad=2
109,39,Ad from advertiser #39,Ad #3 of advertiser #39,https://www.amazon.com?advertiser=39&ad=3
110,39,Ad from advertiser #39,Ad #4 of advertiser #39,https://www.amazon.com?advertiser=39&ad=4
111,40,Ad from advertiser #40,Ad #1 of advertiser #40,https://www.amazon.com?advertiser=40&ad=1
112,41,Ad from advertiser #41,Ad #1 of advertiser #41,https://www.amazon.com?advertiser=41&ad=1
113,41,Ad from advertiser #41,Ad #2 of advertiser #41,https://www.amazon.com?advertiser=41&ad=2
114,41,Ad from advertiser #41,Ad #3 of advertiser #41,https://www.amazon.com?advertiser=41&ad=3
115,41,Ad from advertiser #41,Ad #4 of advertiser #41,https://www.amazon.com?advertiser=41&ad=4
116,42,Ad from advertiser #42,Ad #1 of advertiser #42,https://www.amazon.com?advertiser=42&ad=1
117,42,Ad from advertiser #42,Ad #2 of advertiser #42,https://www.amazon.com?advertiser=42&ad=2
118,42,Ad from advertiser #42,Ad #3 of advertiser #42,https://www.amazon.com?advertiser=42&ad=3
119,42,Ad from advertiser #42,Ad #4 of advertiser #42,https://www.amazon.com?advertiser=42&ad=4
120,43,Ad from advertiser #43,Ad #1 of advertiser #43,https://www.amazon.com?advertiser=43&ad=1
121,44,Ad from advertiser #44,Ad #1 of advertiser #44,https://www.amazon.com?advertiser=44&ad=1
122,44,Ad from advertiser #44,Ad #2 of advertiser #44,https://www.amazon.com?advertiser=44&ad=2
123,44,Ad from advertiser #44,Ad #3 of advertiser #44,https://www.amazon.com?advertiser=44&ad=3
124,44,Ad from advertiser #44,Ad #4 of advertiser #44,https://www.amazon.com?advertiser=44&ad=4
125,44,Ad from advertiser #44,Ad #5 of advertiser #44,https://www.amazon.com?advertiser=44&ad=5
126,45,Ad from advertiser #45,Ad #1 of advertiser #45,https://www.amazon.com?advertiser=45&ad=1
127,45,Ad from advertiser #45,Ad #2 of advertiser #45,https://www.amazon.com?advertiser=45&ad=2
128,45,Ad from advertiser #45,Ad #3 of advertiser #45,https://www.amazon.com?advertiser=45&ad=3
129,46,Ad from advertiser #46,Ad #1 of advertiser #46,https://www.amazon.com?advertiser=46&ad=1
130,46,Ad from advertiser #46,Ad #2 of advertiser #46,https://www.amazon.com?advertiser=46&ad=2
131,46,Ad from advertiser #46,Ad #3 of advertiser #46,https://www.amazon.com?advertiser=46&ad=3
132,46,Ad from advertiser #46,Ad #4 of advertiser #46,https://www.amazon.com?advertiser=46&ad=4
133,47,Ad from advertiser #47,Ad #1 of advertiser #47,https://www.amazon.com?advertiser=47&ad=1
134,48,Ad from advertiser #48,Ad #1 of advertiser #48,https://www.amazon.com?advertiser=48&ad=1
135,48,Ad from advertiser #48,Ad #2 of advertiser #48,https://www.amazon.com?advertiser=48&ad=2
136,48,Ad from advertiser #48,Ad #3 of advertiser #48,https://www.amazon.com?advertiser=48&ad=3
137,49,Ad from advertiser #49,Ad #1 of advertiser #49,https://www.amazon.com?advertiser=49&ad=1
138,49,Ad from advertiser #49,Ad #2 of advertiser #49,https://www.amazon.com?advertiser=49&ad=2
139,49,Ad from advertiser #49,Ad #3 of advertiser #49,https://www.amazon.com?advertiser=49&ad=3
140,49,Ad from advertiser #49,Ad #4 of advertiser #49,https://www.amazon.com?advertiser=49&ad=4
141,50,Ad from advertiser #50,Ad #1 of advertiser #50,https://www.amazon.com?advertiser=50&ad=1
142,50,Ad from advertiser #50,Ad #2 of advertiser #50,https://www.amazon.com?advertiser=50&ad=2
143,50,Ad from advertiser #50,Ad #3 of advertiser #50,https://www.amazon.com?advertiser=50&ad=3
144,50,Ad from advertiser #50,Ad #4 of advertiser #50,https://www.amazon.com?advertiser=50&ad=4
145,51,Ad from advertiser #51,Ad #1 of advertiser #51,https://www.amazon.com?advertiser=51&ad=1
146,51,Ad from advertiser #51,Ad #2 of advertiser #51,https://www.amazon.com?advertiser=51&ad=2
147,52,Ad from advertiser #52,Ad #1 of advertiser #52,https://www.amazon.com?advertiser=52&ad=1
148,53,Ad from advertiser #53,Ad #1 of advertiser #53,https://www.amazon.com?advertiser=53&ad=1
149,53,Ad from advertiser #53,Ad #2 of advertiser #53,https://www.amazon.com?advertiser=53&ad=2
150,53,Ad from advertiser #53,Ad #3 of advertiser #53,https://www.amazon.com?advertiser=53&ad=3
151,54,Ad from advertiser #54,Ad #1 of advertiser #54,https://www.amazon.com?advertiser=54&ad=1
152,54,Ad from advertiser #54,Ad #2 of advertiser #54,https://www.amazon.com?advertiser=54&ad=2
153,55,Ad from advertiser #55,Ad #1 of advertiser #55,https://www.amazon.com?advertiser=55&ad=1
154,55,Ad from advertiser #55,Ad #2 of advertiser #55,https://www.amazon.com?advertiser=55&ad=2
155,55,Ad from advertiser #55,Ad #3 of advertiser #55,https://www.amazon.com?advertiser=55&ad=3
156,56,Ad from advertiser #56,Ad #1 of advertiser #56,https://www.amazon.com?advertiser=56&ad=1
157,57,Ad from advertiser #57,Ad #1 of advertiser #57,https://www.amazon.com?advertiser=57&ad=1
158,57,Ad from advertiser #57,Ad #2 of advertiser #57,https://www.amazon.com?advertiser=57&ad=2
159,57,Ad from advertiser #57,Ad #3 of advertiser #57,https://www.amazon.com?advertiser=57&ad=3
160,57,Ad from advertiser #57,Ad #4 of advertiser #57,https://www.amazon.com?advertiser=57&ad=4
161,58,Ad from advertiser #58,Ad #1 of advertiser #58,https://www.amazon.com?advertiser=58&ad=1
162,58,Ad from advertiser #58,Ad #2 of advertiser #58,https://www.amazon.com?advertiser=58&ad=2
163,59,Ad from advertiser #59,Ad #1 of advertiser #59,https://www.amazon.com?advertiser=59&ad=1
164,59,Ad from advertiser #59,Ad #2 of advertiser #59,https://www.amazon.com?advertiser=59&ad=2
165,59,Ad from advertiser #59,Ad #3 of advertiser #59,https://www.amazon.com?advertiser=59&ad=3
166,60,Ad from advertiser #60,Ad #1 of advertiser #60,https://www.amazon.com?advertiser=60&ad=1
167,60,Ad from advertiser #60,Ad #2 of advertiser #60,https://www.amazon.com?advertiser=60&ad=2
168,60,Ad from advertiser #60,Ad #3 of advertiser #60,https://www.amazon.com?advertiser=60&ad=3
169,61,Ad from advertiser #61,Ad #1 of advertiser #61,https://www.amazon.com?advertiser=61&ad=1
170,61,Ad from advertiser #61,Ad #2 of advertiser #61,https://www.amazon.com?advertiser=61&ad=2
171,61,Ad from advertiser #61,Ad #3 of advertiser #61,https://www.amazon.com?advertiser=61&ad=3
172,61,Ad from advertiser #61,Ad #4 of advertiser #61,https://www.amazon.com?advertiser=61&ad=4
173,62,Ad from advertiser #62,Ad #1 of advertiser #62,https://www.amazon.com?advertiser=62&ad=1
174,62,Ad from advertiser #62,Ad #2 of advertiser #62,https://www.amazon.com?advertiser=62&ad=2
175,62,Ad from advertiser #62,Ad #3 of advertiser #62,https://www.amazon.com?advertiser=62&ad=3
176,62,Ad from advertiser #62,Ad #4 of advertiser #62,https://www.amazon.com?advertiser=62&ad=4
177,62,Ad from advertiser #62,Ad #5 of advertiser #62,https://www.amazon.com?advertiser=62&ad=5
178,63,Ad from advertiser #63,Ad #1 of advertiser #63,https://www.amazon.com?advertiser=63&ad=1
179,64,Ad from advertiser #64,Ad #1 of advertiser #64,https://www.amazon.com?advertiser=64&ad=1
180,64,Ad from advertiser #64,Ad #2 of advertiser #64,https://www.amazon.com?advertiser=64&ad=2
181,64,Ad from advertiser #64,Ad #3 of advertiser #64,https://www.amazon.com?advertiser=64&ad=3
182,65,Ad from advertiser #65,Ad #1 of advertiser #65,https://www.amazon.com?advertiser=65&ad=1
183,65,Ad from advertiser #65,Ad #2 of advertiser #65,https://www.amazon.com?advertiser=65&ad=2
184,66,Ad from advertiser #66,Ad #1 of advertiser #66,https://www.amazon.com?advertiser=66&ad=1
185,67,Ad from advertiser #67,Ad #1 of advertiser #67,https://www.amazon.com?advertiser=67&ad=1
186,67,Ad from advertiser #67,Ad #2 of advertiser #67,https://www.amazon.com?advertiser=67&ad=2
187,67,Ad from advertiser #67,Ad #3 of advertiser #67,https://www.amazon.com?advertiser=67&ad=3
188,67,Ad from advertiser #67,Ad #4 of advertiser #67,https://www.amazon.com?advertiser=67&ad=4
189,68,Ad from advertiser #68,Ad #1 of advertiser #68,https://www.amazon.com?advertiser=68&ad=1
190,68,Ad from advertiser #68,Ad #2 of advertiser #68,https://www.amazon.com?advertiser=68&ad=2
191,69,Ad from advertiser #69,Ad #1 of advertiser #69,https://www.amazon.com?advertiser=69&ad=1
192,69,Ad from advertiser #69,Ad #2 of advertiser #69,https://www.amazon.com?advertiser=69&ad=2
193,69,Ad from advertiser #69,Ad #3 of advertiser #69,https://www.amazon.com?advertiser=69&ad=3
194,69,Ad from advertiser #69,Ad #4 of advertiser #69,https://www.amazon.com?advertiser=69&ad=4
195,70,Ad from advertiser #70,Ad #1 of advertiser #70,https://www.amazon.com?advertiser=70&ad=1
196,70,Ad from advertiser #70,Ad #2 of advertiser #70,https://www.amazon.com?advertiser=70&ad=2
197,70,Ad from advertiser #70,Ad #3 of advertiser #70,https://www.amazon.com?advertiser=70&ad=3
198,71,Ad from advertiser #71,Ad #1 of advertiser #71,https://www.amazon.com?advertiser=71&ad=1
199,71,Ad from advertiser #71,Ad #2 of advertiser #71,https://www.amazon.com?advertiser=71&ad=2
200,71,Ad from advertiser #71,Ad #3 of advertiser #71,https://www.amazon.com?advertiser=71&ad=3
201,72,Ad from advertiser #72,Ad #1 of advertiser #72,https://www.amazon.com?advertiser=72&ad=1
202,72,Ad from advertiser #72,Ad #2 of advertiser #72,https://www.amazon.com?advertiser=72&ad=2
203,72,Ad from advertiser #72,Ad #3 of advertiser #72,https://www.amazon.com?advertiser=72&ad=3
204,73,Ad from advertiser #73,Ad #1 of advertiser #73,https://www.amazon.com?advertiser=73&ad=1
205,73,Ad from advertiser #73,Ad #2 of advertiser #73,https://www.amazon.com?advertiser=73&ad=2
206,74,Ad from advertiser #74,Ad #1 of advertiser #74,https://www.amazon.com?advertiser=74&ad=1
207,74,Ad from advertiser #74,Ad #2 of advertiser #74,https://www.amazon.com?advertiser=74&ad=2
208,75,Ad from advertiser #75,Ad #1 of advertiser #75,https://www.amazon.com?advertiser=75&ad=1
209,76,Ad from advertiser #76,Ad #1 of advertiser #76,https://www.amazon.com?advertiser=76&ad=1
210,76,Ad from advertiser #76,Ad #2 of advertiser #76,https://www.amazon.com?advertiser=76&ad=2
211,76,Ad from advertiser #76,Ad #3 of advertiser #76,https://www.amazon.com?advertiser=76&ad=3
212,77,Ad from advertiser #77,Ad #1 of advertiser #77,https://www.amazon.com?advertiser=77&ad=1
213,78,Ad from advertiser #78,Ad #1 of advertiser #78,https://www.amazon.com?advertiser=78&ad=1
214,79,Ad from advertiser #79,Ad #1 of advertiser #79,https://www.amazon.com?advertiser=79&ad=1
215,79,Ad from advertiser #79,Ad #2 of advertiser #79,https://www.amazon.com?advertiser=79&ad=2
216,80,Ad from advertiser #80,Ad #1 of advertiser #80,https://www.amazon.com?advertiser=80&ad=1
217,80,Ad from advertiser #80,Ad #2 of advertiser #80,https://www.amazon.com?advertiser=80&ad=2
218,80,Ad from advertiser #80,Ad #3 of advertiser #80,https://www.amazon.com?advertiser=80&ad=3
219,80,Ad from advertiser #80,Ad #4 of advertiser #80,https://www.amazon.com?advertiser=80&ad=4
220,81,Ad from advertiser #81,Ad #1 of advertiser #81,https://www.amazon.com?advertiser=81&ad=1
221,81,Ad from advertiser #81,Ad #2 of advertiser #81,https://www.amazon.com?advertiser=81&ad=2
222,81,Ad from advertiser #81,Ad #3 of advertiser #81,https://www.amazon.com?advertiser=81&ad=3
223,81,Ad from advertiser #81,Ad #4 of advertiser #81,https://www.amazon.com?advertiser=81&ad=4
224,82,Ad from advertiser #82,Ad #1 of advertiser #82,https://www.amazon.com?advertiser=82&ad=1
225,82,Ad from advertiser #82,Ad #2 of advertiser #82,https://www.amazon.com?advertiser=82&ad=2
226,83,Ad from advertiser #83,Ad #1 of advertiser #83,https://www.amazon.com?advertiser=83&ad=1
227,83,Ad from advertiser #83,Ad #2 of advertiser #83,https://www.amazon.com?advertiser=83&ad=2
228,83,Ad from advertiser #83,Ad #3 of advertiser #83,https://www.amazon.com?advertiser=83&ad=3
229,84,Ad from advertiser #84,Ad #1 of advertiser #84,https://www.amazon.com?advertiser=84&ad=1
230,84,Ad from advertiser #84,Ad #2 of advertiser #84,https://www.amazon.com?advertiser=84&ad=2
231,85,Ad from advertiser #85,Ad #1 of advertiser #85,https://www.amazon.com?advertiser=85&ad=1
232,85,Ad from advertiser #85,Ad #2 of advertiser #85,https://www.amazon.com?advertiser=85&ad=2
233,86,Ad from advertiser #86,Ad #1 of advertiser #86,https://www.amazon.com?advertiser=86&ad=1
234,86,Ad from advertiser #86,Ad #2 of advertiser #86,https://www.amazon.com?advertiser=86&ad=2
235,86,Ad from advertiser #86,Ad #3 of advertiser #86,https://www.amazon.com?advertiser=86&ad=3
236,86,Ad from advertiser #86,Ad #4 of advertiser #86,https://www.amazon.com?advertiser=86&ad=4
237,86,Ad from advertiser #86,Ad #5 of advertiser #86,https://www.amazon.com?advertiser=86&ad=5
238,87,Ad from advertiser #87,Ad #1 of advertiser #87,https://www.amazon.com?advertiser=87&ad=1
239,87,Ad from advertiser #87,Ad #2 of advertiser #87,https://www.amazon.com?advertiser=87&ad=2
240,87,Ad from advertiser #87,Ad #3 of advertiser #87,https://www.amazon.com?advertiser=87&ad=3
241,88,Ad from advertiser #88,Ad #1 of advertiser #88,https://www.amazon.com?advertiser=88&ad=1
242,88,Ad from advertiser #88,Ad #2 of advertiser #88,https://www.amazon.com?advertiser=88&ad=2
243,88,Ad from advertiser #88,Ad #3 of advertiser #88,https://www.amazon.com?advertiser=88&ad=3
244,88,Ad from advertiser #88,Ad #4 of advertiser #88,https://www.amazon.com?advertiser=88&ad=4
245,88,Ad from advertiser #88,Ad #5 of advertiser #88,https://www.amazon.com?advertiser=88&ad=5
246,89,Ad from advertiser #89,Ad #1 of advertiser #89,https://www.amazon.com?advertiser=89&ad=1
247,89,Ad from advertiser #89,Ad #2 of advertiser #89,https://www.amazon.com?advertiser=89&ad=2
248,90,Ad from advertiser #90,Ad #1 of advertiser #90,https://www.amazon.com?advertiser=90&ad=1
249,90,Ad from advertiser #90,Ad #2 of advertiser #90,https://www.amazon.com?advertiser=90&ad=2
250,91,Ad from advertiser #91,Ad #1 of advertiser #91,https://www.amazon.com?advertiser=91&ad=1
251,91,Ad from advertiser #91,Ad #2 of advertiser #91,https://www.amazon.com?advertiser=91&ad=2
252,92,Ad from advertiser #92,Ad #1 of advertiser #92,https://www.amazon.com?advertiser=92&ad=1
253,92,Ad from advertiser #92,Ad #2 of advertiser #92,https://www.amazon.com?advertiser=92&ad=2
254,93,Ad from advertiser #93,Ad #1 of advertiser #93,https://www.amazon.com?advertiser=93&ad=1
255,93,Ad from advertiser #93,Ad #2 of advertiser #93,https://www.amazon.com?advertiser=93&ad=2
256,93,Ad from advertiser #93,Ad #3 of advertiser #93,https://www.amazon.com?advertiser=93&ad=3
257,93,Ad from advertiser #93,Ad #4 of advertiser #93,https://www.amazon.com?advertiser=93&ad=4
258,93,Ad from advertiser #93,Ad #5 of advertiser #93,https://www.amazon.com?advertiser=93&ad=5
259,94,Ad from advertiser #94,Ad #1 of advertiser #94,https://www.amazon.com?advertiser=94&ad=1
260,94,Ad from advertiser #94,Ad #2 of advertiser #94,https://www.amazon.com?advertiser=94&ad=2
261,94,Ad from advertiser #94,Ad #3 of advertiser #94,https://www.amazon.com?advertiser=94&ad=3
262,94,Ad from advertiser #94,Ad #4 of advertiser #94,https://www.amazon.com?advertiser=94&ad=4
263,94,Ad from advertiser #94,Ad #5 of advertiser #94,https://www.amazon.com?advertiser=94&ad=5
264,95,Ad from advertiser #95,Ad #1 of advertiser #95,https://www.amazon.com?advertiser=95&ad=1
265,95,Ad from advertiser #95,Ad #2 of advertiser #95,https://www.amazon.com?advertiser=95&ad=2
266,95,Ad from advertiser #95,Ad #3 of advertiser #95,https://www.amazon.com?advertiser=95&ad=3
267,96,Ad from advertiser #96,Ad #1 of advertiser #96,https://www.amazon.com?advertiser=96&ad=1
268,96,Ad from advertiser #96,Ad #2 of advertiser #96,https://www.amazon.com?advertiser=96&ad=2
269,96,Ad from advertiser #96,Ad #3 of advertiser #96,https://www.amazon.com?advertiser=96&ad=3
270,97,Ad from advertiser #97,Ad #1 of advertiser #97,https://www.amazon.com?advertiser=97&ad=1
271,98,Ad from advertiser #98,Ad #1 of advertiser #98,https://www.amazon.com?advertiser=98&ad=1
272,98,Ad from advertiser #98,Ad #2 of advertiser #98,https://www.amazon.com?advertiser=98&ad=2
273,98,Ad from advertiser #98,Ad #3 of advertiser #98,https://www.amazon.com?advertiser=98&ad=3
